Source,Year,Mean
gcag,1850-01,-0.6746
gcag,1850-02,-0.3334
gcag,1850-03,-0.5913
gcag,1850-04,-0.5887
gcag,1850-05,-0.5088
gcag,1850-06,-0.3442
gcag,1850-07,-0.1598
gcag,1850-08,-0.2077
gcag,1850-09,-0.3847
gcag,1850-10,-0.5331
gcag,1850-11,-0.2825
gcag,1850-12,-0.4037
gcag,1851-01,-0.2007
gcag,1851-02,-0.4693
gcag,1851-03,-0.6461
gcag,1851-04,-0.5421
gcag,1851-05,-0.1976
gcag,1851-06,-0.1367
gcag,1851-07,-0.0968
gcag,1851-08,-0.1018
gcag,1851-09,-0.0912
gcag,1851-10,-0.0084
gcag,1851-11,-0.0819
gcag,1851-12,-0.2275
gcag,1852-01,-0.3751
gcag,1852-02,-0.4767
gcag,1852-03,-0.5598
gcag,1852-04,-0.5854
gcag,1852-05,-0.1274
gcag,1852-06,-0.0837
gcag,1852-07,0.005
gcag,1852-08,-0.1356
gcag,1852-09,-0.0019
gcag,1852-10,-0.1724
gcag,1852-11,-0.3052
gcag,1852-12,0.0654
gcag,1853-01,-0.2326
gcag,1853-02,-0.4037
gcag,1853-03,-0.2804
gcag,1853-04,-0.3863
gcag,1853-05,-0.2679
gcag,1853-06,-0.1424
gcag,1853-07,-0.0834
gcag,1853-08,-0.0566
gcag,1853-09,-0.2503
gcag,1853-10,-0.3918
gcag,1853-11,-0.4114
gcag,1853-12,-0.3374
gcag,1854-01,-0.3814
gcag,1854-02,-0.3611
gcag,1854-03,-0.2427
gcag,1854-04,-0.3338
gcag,1854-05,-0.2895
gcag,1854-06,-0.299
gcag,1854-07,-0.1786
gcag,1854-08,-0.2394
gcag,1854-09,-0.2167
gcag,1854-10,-0.0953
gcag,1854-11,-0.4103
gcag,1854-12,-0.4504
gcag,1855-01,-0.1592
gcag,1855-02,-0.3134
gcag,1855-03,-0.344
gcag,1855-04,-0.2182
gcag,1855-05,-0.3873
gcag,1855-06,-0.333
gcag,1855-07,-0.333
gcag,1855-08,-0.1995
gcag,1855-09,-0.2707
gcag,1855-10,-0.1954
gcag,1855-11,-0.3893
gcag,1855-12,-0.4199
gcag,1856-01,-0.0756
gcag,1856-02,-0.3371
gcag,1856-03,-0.3577
gcag,1856-04,-0.3159
gcag,1856-05,-0.2851
gcag,1856-06,-0.2142
gcag,1856-07,-0.2247
gcag,1856-08,-0.2377
gcag,1856-09,-0.3882
gcag,1856-10,-0.4381
gcag,1856-11,-0.5523
gcag,1856-12,-0.4175
gcag,1857-01,-0.4948
gcag,1857-02,-0.4349
gcag,1857-03,-0.4786
gcag,1857-04,-0.6443
gcag,1857-05,-0.6587
gcag,1857-06,-0.3041
gcag,1857-07,-0.4114
gcag,1857-08,-0.369
gcag,1857-09,-0.3797
gcag,1857-10,-0.4726
gcag,1857-11,-0.6851
gcag,1857-12,-0.2735
gcag,1858-01,-0.2955
gcag,1858-02,-0.4769
gcag,1858-03,-0.5477
gcag,1858-04,-0.428
gcag,1858-05,-0.5321
gcag,1858-06,-0.3795
gcag,1858-07,-0.3356
gcag,1858-08,-0.2775
gcag,1858-09,-0.2832
gcag,1858-10,-0.2887
gcag,1858-11,-0.3655
gcag,1858-12,-0.455
gcag,1859-01,-0.3815
gcag,1859-02,-0.3435
gcag,1859-03,-0.3137
gcag,1859-04,-0.1572
gcag,1859-05,-0.1525
gcag,1859-06,-0.2496
gcag,1859-07,-0.3121
gcag,1859-08,-0.2446
gcag,1859-09,-0.3939
gcag,1859-10,-0.2547
gcag,1859-11,-0.2875
gcag,1859-12,-0.2844
gcag,1860-01,-0.3906
gcag,1860-02,-0.4683
gcag,1860-03,-0.7865
gcag,1860-04,-0.3061
gcag,1860-05,-0.3636
gcag,1860-06,-0.2115
gcag,1860-07,-0.1848
gcag,1860-08,-0.1142
gcag,1860-09,-0.1313
gcag,1860-10,-0.346
gcag,1860-11,-0.6049
gcag,1860-12,-0.7742
gcag,1861-01,-0.918
gcag,1861-02,-0.6246
gcag,1861-03,-0.4157
gcag,1861-04,-0.3862
gcag,1861-05,-0.6603
gcag,1861-06,-0.2514
gcag,1861-07,-0.2967
gcag,1861-08,-0.0411
gcag,1861-09,-0.2703
gcag,1861-10,-0.4766
gcag,1861-11,-0.4576
gcag,1861-12,-0.3509
gcag,1862-01,-0.8248
gcag,1862-02,-0.7155
gcag,1862-03,-0.5354
gcag,1862-04,-0.5221
gcag,1862-05,-0.3475
gcag,1862-06,-0.3066
gcag,1862-07,-0.3449
gcag,1862-08,-0.4562
gcag,1862-09,-0.3624
gcag,1862-10,-0.4487
gcag,1862-11,-0.6778
gcag,1862-12,-0.8945
gcag,1863-01,-0.0763
gcag,1863-02,-0.2495
gcag,1863-03,-0.355
gcag,1863-04,-0.2883
gcag,1863-05,-0.3837
gcag,1863-06,-0.3683
gcag,1863-07,-0.3123
gcag,1863-08,-0.2974
gcag,1863-09,-0.352
gcag,1863-10,-0.5043
gcag,1863-11,-0.4406
gcag,1863-12,-0.5032
gcag,1864-01,-0.8532
gcag,1864-02,-0.5934
gcag,1864-03,-0.4994
gcag,1864-04,-0.5436
gcag,1864-05,-0.3238
gcag,1864-06,-0.1125
gcag,1864-07,-0.2596
gcag,1864-08,-0.3079
gcag,1864-09,-0.4425
gcag,1864-10,-0.6029
gcag,1864-11,-0.4562
gcag,1864-12,-0.5903
gcag,1865-01,-0.1761
gcag,1865-02,-0.4667
gcag,1865-03,-0.6612
gcag,1865-04,-0.4482
gcag,1865-05,-0.3775
gcag,1865-06,-0.1952
gcag,1865-07,-0.2152
gcag,1865-08,-0.2118
gcag,1865-09,-0.1709
gcag,1865-10,-0.2694
gcag,1865-11,-0.3371
