Country Name,Country Code,Continent,Year,Exports of goods and services (% of GDP),Imports of goods and services (% of GDP)
Brazil,BRA,Américas,2012,11.8775390682698,13.2367345446598
Brazil,BRA,Américas,2013,11.7422306424698,14.0437266829254
Brazil,BRA,Américas,2014,11.0119428229537,13.6734629959802
Brazil,BRA,Américas,2015,12.9001914182073,14.0534345183566
Brazil,BRA,Américas,2016,12.466679044149,12.067003036465
Brazil,BRA,Américas,2017,12.518967870078,11.8007665043122
Brazil,BRA,Américas,2018,14.6349994949752,14.241203878622
Brazil,BRA,Américas,2019,14.122919190471,14.7673386789991
Brazil,BRA,Américas,2020,16.795068432705,16.0953836720361
Brazil,BRA,Américas,2021,20.0972752064931,19.0788469417033
