Country Name,Country Code,Continent,Year,Exports of goods and services (% of GDP),Imports of goods and services (% of GDP)
Argentina,ARG,Américas,2020,16.5918166322906,13.5563249239753
Australia,AUS,Oceania,2020,23.9838535266898,20.0556726199551
Brazil,BRA,Américas,2020,16.795068432705,16.0953836720361
Canada,CAN,Américas,2020,29.3634480170965,31.4190824211379
China,CHN,Ásia,2020,18.541060011129,16.048189509327
France,FRA,Europa,2020,27.8736440773647,29.893784250888
Germany,DEU,Europa,2020,43.4168953188659,37.6916521160722
India,IND,Ásia,2020,18.7088986865584,19.0964548921913
Indonesia,IDN,Oceania,2020,17.2714213388682,15.7041742336216
Italy,ITA,Europa,2020,29.5325109400603,25.8701307761856
Japan,JPN,Ásia,2020,15.5585542763298,15.8001573523187
"Korea, Rep.",KOR,Ásia,2020,36.4458591055729,32.7696616159181
Mexico,MEX,Américas,2020,39.6030465121765,37.5557252363222
Russian Federation,RUS,Europa,2020,25.531215027121,20.4307307532104
Saudi Arabia,SAU,Ásia,2020,26.1829049524404,25.8936838998287
South Africa,ZAF,África,2020,27.778011440401,23.3488345013599
Spain,ESP,Europa,2020,30.6209378687782,29.1477858153854
Turkiye,TUR,Ásia,2020,28.6648560112337,32.4757475965414
United Kingdom,GBR,Europa,2020,28.3622762663919,28.0667007381483
United States,USA,Américas,2020,10.1628986024335,13.2795588104117
