Country Name,Country Code,Continent,Series Name,Year,Value
Argentina,ARG,Américas,"Population, total",2021,45808747.0
Australia,AUS,Oceania,"Population, total",2021,25739256.0
Brazil,BRA,Américas,"Population, total",2021,213993441.0
Canada,CAN,Américas,"Population, total",2021,38246108.0
China,CHN,Ásia,"Population, total",2021,1412360000.0
France,FRA,Europa,"Population, total",2021,67499343.0
Germany,DEU,Europa,"Population, total",2021,83129285.0
India,IND,Ásia,"Population, total",2021,1393409033.0
Indonesia,IDN,Oceania,"Population, total",2021,276361788.0
Italy,ITA,Europa,"Population, total",2021,59066225.0
Japan,JPN,Ásia,"Population, total",2021,125681593.0
"Korea, Rep.",KOR,Ásia,"Population, total",2021,51744876.0
Mexico,MEX,Américas,"Population, total",2021,130262220.0
Russian Federation,RUS,Europa,"Population, total",2021,143446060.0
Saudi Arabia,SAU,Ásia,"Population, total",2021,35340680.0
South Africa,ZAF,África,"Population, total",2021,60041996.0
Spain,ESP,Europa,"Population, total",2021,47326687.0
Turkiye,TUR,Ásia,"Population, total",2021,85042736.0
United Kingdom,GBR,Europa,"Population, total",2021,67326569.0
United States,USA,Américas,"Population, total",2021,331893745.0
